at x=14; y=0;facet=1
at x=89; y=0;facet=6
at x=204; y=0;facet=1
at x=8; y=2;facet=6
at x=101; y=3;facet=5
at x=215; y=5;facet=1
at x=219; y=5;facet=2
at x=220; y=5;facet=5
at x=221; y=5;facet=1
at x=215; y=6;facet=5
at x=216; y=6;facet=4
at x=217; y=6;facet=6
at x=221; y=6;facet=5
at x=16; y=7;facet=1
at x=200; y=7;facet=6
at x=229; y=7;facet=6
at x=202; y=8;facet=6
at x=206; y=8;facet=1
at x=223; y=8;facet=4
at x=221; y=9;facet=3
at x=223; y=9;facet=2
at x=232; y=9;facet=2
at x=206; y=10;facet=3
at x=232; y=10;facet=4
at x=82; y=11;facet=4
at x=219; y=11;facet=2
at x=220; y=11;facet=6
at x=231; y=11;facet=4
at x=29; y=12;facet=3
at x=206; y=12;facet=4
at x=84; y=13;facet=1
at x=220; y=13;facet=2
at x=207; y=14;facet=3
at x=217; y=14;facet=5
at x=220; y=14;facet=2
at x=229; y=14;facet=6
at x=81; y=15;facet=3
at x=202; y=15;facet=5
at x=220; y=15;facet=5
at x=112; y=16;facet=5
at x=199; y=16;facet=3
at x=225; y=16;facet=2
at x=144; y=17;facet=6
at x=198; y=17;facet=1
at x=217; y=17;facet=6
at x=195; y=18;facet=4
at x=209; y=18;facet=3
at x=226; y=18;facet=2
at x=28; y=19;facet=5
at x=191; y=19;facet=5
at x=218; y=19;facet=4
at x=219; y=19;facet=5
at x=227; y=19;facet=5
at x=193; y=20;facet=3
at x=196; y=20;facet=2
at x=199; y=20;facet=4
at x=219; y=20;facet=3
at x=227; y=20;facet=2
at x=228; y=20;facet=2
at x=222; y=21;facet=5
at x=226; y=21;facet=5
at x=24; y=22;facet=6
at x=82; y=22;facet=1
at x=204; y=22;facet=2
at x=210; y=22;facet=2
at x=222; y=22;facet=6
at x=0; y=23;facet=4
at x=81; y=23;facet=2
at x=226; y=23;facet=2
at x=214; y=24;facet=3
at x=224; y=24;facet=1
at x=208; y=25;facet=6
at x=216; y=25;facet=1
at x=217; y=26;facet=1
at x=224; y=26;facet=2
at x=25; y=27;facet=6
at x=225; y=27;facet=1
at x=224; y=28;facet=5
at x=61; y=29;facet=3
at x=224; y=29;facet=4
at x=223; y=32;facet=3
at x=118; y=36;facet=4
at x=211; y=36;facet=2
at x=225; y=37;facet=2
at x=39; y=38;facet=4
at x=195; y=38;facet=3
at x=219; y=38;facet=6
at x=40; y=39;facet=6
at x=166; y=39;facet=5
at x=227; y=40;facet=6
at x=228; y=40;facet=3
at x=162; y=41;facet=4
at x=193; y=41;facet=4
at x=213; y=42;facet=5
at x=192; y=43;facet=4
at x=227; y=43;facet=6
at x=230; y=43;facet=4
at x=193; y=44;facet=4
at x=194; y=44;facet=4
at x=220; y=44;facet=4
at x=193; y=45;facet=2
at x=58; y=46;facet=2
at x=192; y=46;facet=4
at x=0; y=47;facet=6
at x=45; y=47;facet=4
at x=191; y=47;facet=5
at x=204; y=47;facet=1
at x=210; y=47;facet=2
at x=223; y=47;facet=2
at x=224; y=47;facet=1
at x=45; y=48;facet=3
at x=56; y=48;facet=1
at x=59; y=48;facet=2
at x=220; y=48;facet=6
at x=221; y=48;facet=5
at x=223; y=48;facet=4
at x=43; y=49;facet=3
at x=53; y=49;facet=4
at x=56; y=49;facet=4
at x=61; y=49;facet=3
at x=204; y=49;facet=6
at x=219; y=49;facet=3
at x=54; y=50;facet=4
at x=55; y=50;facet=6
at x=56; y=50;facet=6
at x=58; y=50;facet=6
at x=189; y=50;facet=3
at x=206; y=50;facet=4
at x=218; y=50;facet=3
at x=219; y=50;facet=1
at x=221; y=50;facet=4
at x=224; y=50;facet=6
at x=55; y=51;facet=4
at x=56; y=51;facet=2
at x=58; y=51;facet=6
at x=188; y=51;facet=5
at x=189; y=51;facet=1
at x=201; y=51;facet=5
at x=205; y=51;facet=2
