at x=15; y=0;facet=5
at x=43; y=0;facet=5
at x=84; y=0;facet=1
at x=100; y=0;facet=5
at x=120; y=0;facet=7
at x=140; y=0;facet=6
at x=153; y=0;facet=3
at x=169; y=0;facet=7
at x=171; y=0;facet=4
at x=172; y=0;facet=6
at x=204; y=0;facet=3
at x=209; y=0;facet=3
at x=89; y=1;facet=3
at x=203; y=1;facet=4
at x=210; y=1;facet=7
at x=8; y=2;facet=4
at x=42; y=2;facet=2
at x=89; y=2;facet=3
at x=202; y=2;facet=7
at x=203; y=2;facet=2
at x=204; y=2;facet=6
at x=208; y=2;facet=4
at x=42; y=3;facet=6
at x=88; y=3;facet=4
at x=214; y=3;facet=2
at x=215; y=3;facet=3
at x=216; y=3;facet=4
at x=28; y=4;facet=4
at x=80; y=4;facet=5
at x=87; y=4;facet=3
at x=140; y=4;facet=6
at x=201; y=4;facet=4
at x=215; y=4;facet=2
at x=216; y=4;facet=3
at x=217; y=4;facet=7
at x=218; y=4;facet=4
at x=219; y=4;facet=7
at x=220; y=4;facet=7
at x=79; y=5;facet=1
at x=85; y=5;facet=5
at x=86; y=5;facet=5
at x=207; y=5;facet=4
at x=209; y=5;facet=1
at x=210; y=5;facet=5
at x=222; y=5;facet=7
at x=225; y=5;facet=6
at x=231; y=5;facet=8
at x=233; y=5;facet=3
at x=6; y=6;facet=3
at x=202; y=6;facet=8
at x=207; y=6;facet=1
at x=214; y=6;facet=7
at x=215; y=6;facet=4
at x=216; y=6;facet=1
at x=227; y=6;facet=7
at x=231; y=6;facet=5
at x=17; y=7;facet=4
at x=63; y=7;facet=4
at x=83; y=7;facet=6
at x=201; y=7;facet=5
at x=215; y=7;facet=6
at x=218; y=7;facet=3
at x=221; y=7;facet=2
at x=227; y=7;facet=1
at x=254; y=7;facet=8
at x=77; y=8;facet=1
at x=82; y=8;facet=7
at x=84; y=8;facet=1
at x=202; y=8;facet=7
at x=216; y=8;facet=5
at x=218; y=8;facet=7
at x=225; y=8;facet=4
at x=226; y=8;facet=7
at x=233; y=8;facet=2
at x=82; y=9;facet=1
at x=84; y=9;facet=2
at x=88; y=9;facet=2
at x=99; y=9;facet=8
at x=103; y=9;facet=5
